設備名,,推論時刻,conf値
N3,,2024/04/09 11:05:00,0.93
N3,,2024/04/09 11:05:00,0.93
N3,,2024/04/09 11:05:01,0.90
N3,,2024/04/09 11:05:02,0.94
N3,,2024/04/09 11:05:03,0.92
N3,,2024/04/09 11:05:04,0.92
N3,,2024/04/09 11:05:05,0.91
N3,,2024/04/09 11:05:06,0.92
N3,,2024/04/09 11:05:07,0.94
N3,,2024/04/09 11:05:08,0.69
N3,,2024/04/09 11:05:08,0.51
N3,,2024/04/09 11:05:09,0.93
N3,,2024/04/09 11:05:10,0.93
N3,,2024/04/09 11:05:11,0.86
N3,,2024/04/09 11:05:12,0.94
N3,,2024/04/09 11:05:13,0.93
N3,,2024/04/09 11:05:14,0.93
N3,,2024/04/09 11:05:15,0.93
N3,,2024/04/09 11:05:16,0.94
N3,,2024/04/09 11:05:17,0.94
N3,,2024/04/09 11:05:18,0.94
N3,,2024/04/09 11:05:19,0.94
N3,,2024/04/09 11:05:20,0.93
N3,,2024/04/09 11:05:26,0.76
N3,,2024/04/09 11:05:27,0.93
N3,,2024/04/09 11:05:28,0.93
N3,,2024/04/09 11:05:29,0.94
N3,,2024/04/09 11:05:30,0.94
N3,,2024/04/09 11:05:31,0.93
N3,,2024/04/09 11:05:32,0.94
N3,,2024/04/09 11:05:33,0.91
N3,,2024/04/09 11:05:34,0.91
N3,,2024/04/09 11:05:35,0.90
N3,,2024/04/09 11:05:36,0.55
N3,,2024/04/09 11:05:37,0.85
N3,,2024/04/09 11:05:38,0.65
N3,,2024/04/09 11:05:39,0.80
N3,,2024/04/09 11:05:40,0.85
N3,,2024/04/09 11:05:41,0.88
N3,,2024/04/09 11:05:42,0.68
N3,,2024/04/09 11:05:43,0.78
N3,,2024/04/09 11:05:45,0.85
N3,,2024/04/09 11:05:46,0.88
N3,,2024/04/09 11:05:47,0.89
N3,,2024/04/09 11:05:48,0.88
N3,,2024/04/09 11:05:49,0.88
N3,,2024/04/09 11:05:50,0.86
N3,,2024/04/09 11:05:51,0.87
N3,,2024/04/09 11:05:52,0.89
N3,,2024/04/09 11:05:53,0.87
N3,,2024/04/09 11:05:54,0.87
N3,,2024/04/09 11:05:55,0.89
N3,,2024/04/09 11:05:56,0.92
N3,,2024/04/09 11:05:57,0.90
N3,,2024/04/09 11:05:58,0.91
N3,,2024/04/09 11:05:58,0.93
N3,,2024/04/09 11:05:59,0.92
N3,,2024/04/09 11:06:00,0.94
N3,,2024/04/09 11:06:01,0.91
N3,,2024/04/09 11:06:02,0.92
N3,,2024/04/09 11:06:03,0.92
N3,,2024/04/09 11:06:04,0.91
N3,,2024/04/09 11:06:05,0.94
N3,,2024/04/09 11:06:06,0.95
N3,,2024/04/09 11:06:07,0.94
N3,,2024/04/09 11:06:08,0.92
N3,,2024/04/09 11:06:09,0.87
N3,,2024/04/09 11:06:24,0.92
N3,,2024/04/09 11:06:25,0.94
N3,,2024/04/09 11:06:26,0.90
N3,,2024/04/09 11:06:27,0.95
N3,,2024/04/09 11:06:28,0.93
N3,,2024/04/09 11:06:29,0.93
N3,,2024/04/09 11:06:30,0.93
N3,,2024/04/09 11:06:31,0.93
N3,,2024/04/09 11:06:32,0.93
N3,,2024/04/09 11:06:33,0.92
N3,,2024/04/09 11:06:34,0.93
N3,,2024/04/09 11:06:35,0.92
N3,,2024/04/09 11:06:36,0.91
N3,,2024/04/09 11:06:37,0.92
N3,,2024/04/09 11:06:38,0.93
N3,,2024/04/09 11:06:39,0.92
N3,,2024/04/09 11:06:40,0.92
N3,,2024/04/09 11:06:41,0.93
N3,,2024/04/09 11:06:42,0.92
N3,,2024/04/09 11:06:43,0.93
N3,,2024/04/09 11:06:44,0.91
N3,,2024/04/09 11:06:45,0.93
N3,,2024/04/09 11:06:46,0.91
N3,,2024/04/09 11:06:47,0.91
N3,,2024/04/09 11:06:48,0.93
N3,,2024/04/09 11:06:49,0.94
N3,,2024/04/09 11:06:50,0.95
N3,,2024/04/09 11:06:51,0.88
N3,,2024/04/09 11:06:52,0.93
N3,,2024/04/09 11:06:53,0.92
N3,,2024/04/09 11:06:54,0.92
N3,,2024/04/09 11:06:55,0.94
N3,,2024/04/09 11:06:56,0.93
N3,,2024/04/09 11:06:56,0.94
N3,,2024/04/09 11:06:57,0.94
N3,,2024/04/09 11:06:58,0.94
N3,,2024/04/09 11:06:59,0.94
N3,,2024/04/09 11:07:00,0.94
N3,,2024/04/09 11:07:01,0.93
N3,,2024/04/09 11:07:02,0.93
N3,,2024/04/09 11:07:03,0.94
N3,,2024/04/09 11:07:04,0.94
N3,,2024/04/09 11:07:05,0.94
N3,,2024/04/09 11:07:06,0.93
N3,,2024/04/09 11:07:07,0.91
N3,,2024/04/09 11:07:08,0.94
N3,,2024/04/09 11:07:09,0.94
N3,,2024/04/09 11:07:10,0.93
N3,,2024/04/09 11:07:11,0.93
N3,,2024/04/09 11:07:12,0.94
N3,,2024/04/09 11:07:13,0.93
N3,,2024/04/09 11:07:14,0.93
N3,,2024/04/09 11:07:15,0.94
N3,,2024/04/09 11:07:16,0.93
N3,,2024/04/09 11:07:17,0.93
N3,,2024/04/09 11:07:18,0.94
N3,,2024/04/09 11:07:19,0.94
N3,,2024/04/09 11:07:20,0.95
N3,,2024/04/09 11:07:21,0.92
N3,,2024/04/09 11:07:22,0.91
N3,,2024/04/09 11:07:23,0.93
N3,,2024/04/09 11:07:24,0.93
N3,,2024/04/09 11:07:25,0.93
N3,,2024/04/09 11:07:26,0.93
N3,,2024/04/09 11:07:27,0.95
N3,,2024/04/09 11:07:28,0.94
N3,,2024/04/09 11:07:29,0.95
N3,,2024/04/09 11:07:30,0.93
N3,,2024/04/09 11:07:31,0.95
N3,,2024/04/09 11:07:32,0.94
N3,,2024/04/09 11:07:33,0.94
N3,,2024/04/09 11:07:34,0.94
N3,,2024/04/09 11:07:35,0.93
N3,,2024/04/09 11:07:36,0.94
N3,,2024/04/09 11:07:37,0.93
N3,,2024/04/09 11:07:38,0.94
N3,,2024/04/09 11:07:39,0.95
N3,,2024/04/09 11:07:40,0.94
N3,,2024/04/09 11:07:41,0.67
N3,,2024/04/09 11:07:42,0.94
N3,,2024/04/09 11:07:43,0.94
N3,,2024/04/09 11:07:44,0.94
N3,,2024/04/09 11:07:45,0.94
N3,,2024/04/09 11:07:46,0.94
N3,,2024/04/09 11:07:47,0.95
N3,,2024/04/09 11:07:48,0.94
N3,,2024/04/09 11:07:49,0.93
N3,,2024/04/09 11:07:50,0.94
N3,,2024/04/09 11:07:51,0.94
N3,,2024/04/09 11:07:52,0.94
N3,,2024/04/09 11:07:53,0.94
N3,,2024/04/09 11:07:54,0.94
N3,,2024/04/09 11:07:54,0.94
N3,,2024/04/09 11:07:55,0.94
N3,,2024/04/09 11:07:56,0.94
N3,,2024/04/09 11:07:57,0.93
N3,,2024/04/09 11:07:58,0.96
N3,,2024/04/09 11:07:59,0.96
N3,,2024/04/09 11:08:00,0.95
N3,,2024/04/09 11:08:01,0.95
N3,,2024/04/09 11:08:02,0.95
N3,,2024/04/09 11:08:03,0.95
N3,,2024/04/09 11:08:04,0.94
N3,,2024/04/09 11:08:05,0.94
N3,,2024/04/09 11:08:06,0.95
N3,,2024/04/09 11:08:07,0.95
N3,,2024/04/09 11:08:08,0.95
N3,,2024/04/09 11:08:09,0.95
N3,,2024/04/09 11:08:10,0.95
N3,,2024/04/09 11:08:11,0.95
N3,,2024/04/09 11:08:12,0.95
N3,,2024/04/09 11:08:13,0.95
N3,,2024/04/09 11:08:14,0.94
N3,,2024/04/09 11:08:15,0.94
N3,,2024/04/09 11:08:16,0.95
N3,,2024/04/09 11:08:17,0.95
N3,,2024/04/09 11:08:18,0.96
N3,,2024/04/09 11:08:19,0.95
N3,,2024/04/09 11:08:20,0.93
N3,,2024/04/09 11:08:21,0.94
N3,,2024/04/09 11:08:22,0.93
N3,,2024/04/09 11:08:23,0.93
N3,,2024/04/09 11:08:24,0.93
N3,,2024/04/09 11:08:28,0.95
N3,,2024/04/09 11:08:29,0.95
N3,,2024/04/09 11:08:30,0.92
N3,,2024/04/09 11:10:14,0.91
N3,,2024/04/09 11:10:28,0.91
N3,,2024/04/09 11:10:29,0.92
N3,,2024/04/09 11:10:30,0.92
N3,,2024/04/09 11:10:31,0.92
N3,,2024/04/09 11:10:32,0.76
N3,,2024/04/09 11:10:33,0.93
N3,,2024/04/09 11:10:34,0.88
N3,,2024/04/09 11:10:35,0.93
N3,,2024/04/09 11:10:36,0.91
N3,,2024/04/09 11:10:37,0.92
N3,,2024/04/09 11:10:38,0.92
N3,,2024/04/09 11:10:39,0.91
N3,,2024/04/09 11:10:40,0.90
N3,,2024/04/09 11:10:40,0.92
N3,,2024/04/09 11:10:41,0.91
N3,,2024/04/09 11:10:42,0.80
N3,,2024/04/09 11:10:43,0.95
N3,,2024/04/09 11:10:44,0.91
N3,,2024/04/09 11:10:45,0.94
N3,,2024/04/09 11:10:46,0.94
N3,,2024/04/09 11:10:47,0.92
N3,,2024/04/09 11:10:48,0.92
N3,,2024/04/09 11:10:49,0.92
N3,,2024/04/09 11:10:50,0.93
N3,,2024/04/09 11:10:51,0.85
N3,,2024/04/09 11:10:52,0.89
N3,,2024/04/09 11:10:53,0.82
N3,,2024/04/09 11:10:54,0.55
N3,,2024/04/09 11:10:55,0.45
N3,,2024/04/09 11:10:55,0.42
N3,,2024/04/09 11:10:56,0.78
N3,,2024/04/09 11:10:57,0.92
N3,,2024/04/09 11:10:58,0.92
N3,,2024/04/09 11:10:59,0.52
N3,,2024/04/09 11:11:00,0.93
N3,,2024/04/09 11:11:01,0.92
N3,,2024/04/09 11:11:02,0.93
N3,,2024/04/09 11:11:03,0.63
N3,,2024/04/09 11:11:03,0.39
N3,,2024/04/09 11:11:04,0.92
N3,,2024/04/09 11:11:05,0.92
N3,,2024/04/09 11:11:06,0.75
N3,,2024/04/09 11:11:07,0.73
N3,,2024/04/09 11:11:07,0.66
N3,,2024/04/09 11:11:08,0.89
N3,,2024/04/09 11:11:09,0.91
N3,,2024/04/09 11:11:10,0.93
N3,,2024/04/09 11:11:11,0.91
N3,,2024/04/09 11:11:12,0.89
N3,,2024/04/09 11:11:13,0.87
N3,,2024/04/09 11:11:14,0.93
N3,,2024/04/09 11:11:15,0.94
N3,,2024/04/09 11:11:16,0.93
N3,,2024/04/09 11:11:17,0.91
N3,,2024/04/09 11:11:18,0.88
N3,,2024/04/09 11:11:19,0.92
N3,,2024/04/09 11:11:20,0.92
N3,,2024/04/09 11:11:21,0.91
N3,,2024/04/09 11:11:21,0.93
N3,,2024/04/09 11:11:22,0.91
N3,,2024/04/09 11:11:23,0.92
N3,,2024/04/09 11:11:24,0.92
N3,,2024/04/09 11:11:25,0.94
N3,,2024/04/09 11:11:26,0.91
N3,,2024/04/09 11:11:27,0.92
N3,,2024/04/09 11:11:28,0.93
N3,,2024/04/09 11:11:29,0.94
N3,,2024/04/09 11:12:47,0.93
N3,,2024/04/09 11:12:48,0.79
N3,,2024/04/09 11:13:08,0.94
N3,,2024/04/09 11:13:09,0.92
